brand_name,Total_Sales
Hermanos,13169.63
Tell Tale,11540.2
Ebony,11130.460000000001
Tri-State,10665.58
High Top,10408.710000000001
Nationeel,10231.83
Horatio,10133.52
Best Choice,9369.96
Fast,9178.11
High Quality,9036.66
Denny,8933.98
Big Time,8896.81
Fort West,8813.54
Red Wing,8581.62
Cormorant,8292.88
Carrington,8184.54
Sunset,7734.42
Imagine,7728.29
Golden,7614.87
Super,7087.49
BBB Best,6905.18
PigTail,6630.6
Plato,6461.37
CDR,6447.33
Bravo,6105.43
Hilltop,6067.76
Carlson,5730.9
Landslide,5669.23
Pleasant,5537.61
Blue Label,5338.86
Just Right,5220.64
Even Better,5143.39
Club,5126.38
Gorilla,5013.65
Better,4883.3
Faux Products,4738.2
Booker,4691.01
Bird Call,4616.23
Consolidated,4507.86
Red Spade,3945.54
Steady,3930.58
Moms,3757.21
American,3711.2
Lake,3594.75
Great,3143.4700000000003
Fabulous,3126.83
Excellent,3073.82
Cutting Edge,3059.62
Skinner,2659.62
Gulf Coast,2639.07
Portsmouth,2506.71
Fantastic,2440.4
Washington,2375.59
Musial,2366.04
Thresher,2261.68
Modell,2254.73
Good,2211.3
Walrus,2142.86
Colony,2080.39
Token,1911.31
Sphinx,1894.06
Medalist,1861.6499999999999
Atomic,1716.4
Gauss,1648.9
Pearl,1641.18
Top Measure,1594.56
Colossal,1514.85
Special,1389.15
Monarch,1368.79
Blue Medal,1344.1
Urban,1341.77
Dollar,1292.63
Shady Lake,1287.05
Best,1279.33
National,1278.41
Jumbo,1225.61
Giant,1208.73
Mighty Good,1200.92
Choice,1158.78
Discover,1155.34
Robust,1073.44
Excel,991.64
Jeffers,954.6899999999999
Radius,832.09
Framton,729.29
Amigo,686.29
Quick,664.77
Applause,660.22
Gerolli,636.68
James Bay,624.88
Jardon,602.38
Johnson,594.3
Kiwi,546.9
Green Ribbon,521.23
Curlew,500.76000000000005
Ship Shape,494.48
Swell,474.34999999999997
Tip Top,473.33000000000004
ADJ,471.96
Queen,459.6
Akron,404.3
Genteel,400.2
Toucan,371.14
Prelude,335.8
Black Tie,301.81
Footnote,290.73
Dual City,263.14
Big City,244.94
Symphony,236.8
Toretti,146.41
King,109.89
