food_category,Revenue,Cost,Demand,roi
Vegetables,50067.64,20059.2579,23041,2.495986653623911
Snack Foods,47726.96,19115.3878,21491,2.496782199731255
Dairy,25705.33,10335.8544,11825,2.4870058154069974
Meat,21206.170000000002,8470.7505,9622,2.503458223683958
Fruit,20134.93,8063.4484,9529,2.4970619270038363
Jams and Jellies,15400.78,6132.6088,7831,2.5112933993115623
Bread,11813.05,4728.0011,5552,2.498529452541794
Breakfast Foods,11328.06,4535.8428,6025,2.497454276854568
Baking Goods,11313.59,4523.1481,6037,2.5012645506787625
Electrical,11147.72,4477.1918,4703,2.4898910964681034
Paper Products,10767.78,4304.3053,4876,2.501630170146156
Canned Soup,10419.14,4190.5216,5317,2.4863587387307584
Candy,10141.97,4056.9256,4822,2.4999152067269854
Beer and Wine,10096.61,4048.5488,4951,2.493883734339574
Bathroom Products,9403.8,3763.9007,4794,2.4984187282092747
Frozen Desserts,9329.26,3735.1895,4423,2.4976671197003526
Starchy Foods,7790.06,3110.1617,3433,2.504712214802208
Specialty,7394.15,2966.2842,3625,2.492731478662766
Kitchen Products,6823.04,2728.9778,2995,2.500218213574328
Pain Relievers,6511.23,2621.369,2565,2.4839044026232093
Eggs,6398.62,2558.0635,2926,2.5013530743079673
Magazines,6207.53,2490.245,2956,2.4927386662758084
Hot Beverages,5856.23,2342.0334,2750,2.5004895318743108
Pizza,4889.95,1955.7461,2525,2.500298990753452
Cleaning Supplies,4729.24,1907.0914,2309,2.4798182195148066
Plastic Products,4622.67,1825.9741999999999,1808,2.531618464269649
Carbonated Beverages,4467.83,1773.1219,2427,2.519753436015877
Pure Juice Beverages,4458.4,1783.0764,2355,2.50039762738153
Hygiene,4445.85,1784.4037,2579,2.491504584977043
Drinks,4220.94,1692.8374000000001,1792,2.493411357759463
Frozen Entrees,4183.06,1669.8595,1857,2.505037100426713
Hardware,3895.05,1566.0283,1782,2.4872155886327216
Side Dishes,3358.02,1351.5997,1866,2.48447820756397
Seafood,2470.42,984.0403,1164,2.5104866132006993
Canned Tuna,2320.84,925.118,1207,2.508696187945754
Cold Remedies,2184.32,880.3907,1226,2.481080274927938
Decongestants,2169.4,867.5591,1212,2.5005789230958446
Canned Anchovies,1664.65,672.6467,660,2.4747761343361976
Canned Shrimp,1448.43,598.6557,553,2.419470824382028
Canned Clams,1274.46,497.0866,630,2.5638590941699095
Miscellaneous,1273.89,509.1281,620,2.5021011411469924
Packaged Vegetables,1180.37,474.6871,559,2.4866275068355552
Canned Oysters,1165.6000000000001,465.5039,568,2.503953242926644
Candles,986.08,400.4434,592,2.4624703516152344
Canned Sardines,868.28,345.6828,534,2.511782478040562
