food_category,Revenue,Cost,Demand,roi
Canned Clams,1274.46,497.0866,630,2.5638590941699095
Plastic Products,4622.67,1825.9741999999999,1808,2.531618464269649
Carbonated Beverages,4467.83,1773.1219,2427,2.519753436015877
Canned Sardines,868.28,345.6828,534,2.511782478040562
Jams and Jellies,15400.78,6132.6088,7831,2.5112933993115623
Seafood,2470.42,984.0403,1164,2.5104866132006993
Canned Tuna,2320.84,925.118,1207,2.508696187945754
Frozen Entrees,4183.06,1669.8595,1857,2.505037100426713
Starchy Foods,7790.06,3110.1617,3433,2.504712214802208
Canned Oysters,1165.6000000000001,465.5039,568,2.503953242926644
